日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'601398,工商银行,5.8,5.83,5.74,5.81,185045685,1071096005.0
2019-04-29,'601398,工商银行,5.73,5.84,5.71,5.8,211952969,1225789011.0
2019-04-26,'601398,工商银行,5.71,5.76,5.7,5.71,184000608,1053851685.0
2019-04-25,'601398,工商银行,5.79,5.8,5.71,5.73,225972035,1300357961.0
2019-04-24,'601398,工商银行,5.82,5.84,5.74,5.81,209166808,1213023884.0
2019-04-23,'601398,工商银行,5.84,5.85,5.79,5.81,183104112,1064237189.0
2019-04-22,'601398,工商银行,5.99,6.0,5.81,5.83,273124250,1604367134.0
2019-04-19,'601398,工商银行,5.94,6.01,5.94,5.98,184514226,1102589241.0
2019-04-18,'601398,工商银行,6.01,6.03,5.93,5.94,216478399,1291541522.0
2019-04-17,'601398,工商银行,5.99,6.08,5.96,6.01,364293894,2192184239.0
2019-04-16,'601398,工商银行,5.78,6.03,5.75,6.0,551207242,3278481934.0
2019-04-15,'601398,工商银行,5.81,5.93,5.8,5.81,473497467,2779941677.0
2019-04-12,'601398,工商银行,5.72,5.74,5.7,5.73,153613761,879599556.0
2019-04-11,'601398,工商银行,5.75,5.79,5.71,5.73,217126360,1248620756.0
2019-04-10,'601398,工商银行,5.75,5.79,5.7,5.75,241236289,1382006765.0
2019-04-09,'601398,工商银行,5.81,5.82,5.76,5.78,240801573,1393045154.0
2019-04-08,'601398,工商银行,5.85,5.98,5.78,5.82,429367364,2520826723.0
2019-04-04,'601398,工商银行,5.7,5.83,5.69,5.81,452453954,2613628429.0
2019-04-03,'601398,工商银行,5.6,5.71,5.6,5.7,326286722,1849272726.0
2019-04-02,'601398,工商银行,5.66,5.7,5.64,5.66,392476036,2224158954.0
2019-04-01,'601398,工商银行,5.59,5.66,5.59,5.64,487928296,2746619007.0
2019-03-29,'601398,工商银行,5.47,5.58,5.46,5.57,391603643,2167140511.0
2019-03-28,'601398,工商银行,5.49,5.5,5.44,5.45,192243762,1048075591.0
2019-03-27,'601398,工商银行,5.46,5.54,5.45,5.51,263386947,1448761846.0
2019-03-26,'601398,工商银行,5.49,5.49,5.43,5.45,207940075,1134356207.0
2019-03-25,'601398,工商银行,5.53,5.55,5.46,5.47,321876422,1773948858.0
2019-03-22,'601398,工商银行,5.59,5.6,5.55,5.58,191240061,1065810875.0
2019-03-21,'601398,工商银行,5.61,5.62,5.58,5.59,231573432,1296886937.0
2019-03-20,'601398,工商银行,5.63,5.65,5.59,5.61,236245006,1327840234.0
2019-03-19,'601398,工商银行,5.67,5.67,5.62,5.65,245747081,1387001937.0
2019-03-18,'601398,工商银行,5.57,5.65,5.56,5.65,363399829,2037487807.0
2019-03-15,'601398,工商银行,5.56,5.62,5.56,5.58,250067344,1396909155.0
2019-03-14,'601398,工商银行,5.57,5.61,5.54,5.57,226395559,1262154847.0
2019-03-13,'601398,工商银行,5.61,5.61,5.54,5.58,306509453,1706659371.0
2019-03-12,'601398,工商银行,5.63,5.68,5.6,5.62,274303942,1547955028.0
2019-03-11,'601398,工商银行,5.58,5.63,5.55,5.61,232063438,1296366800.0
2019-03-08,'601398,工商银行,5.7,5.7,5.58,5.59,357824997,2021357634.0
2019-03-07,'601398,工商银行,5.84,5.84,5.74,5.76,400488819,2314378722.0
2019-03-06,'601398,工商银行,5.8,5.85,5.79,5.85,326156960,1897117848.0
2019-03-05,'601398,工商银行,5.83,5.84,5.77,5.82,332788498,1930794205.0
2019-03-04,'601398,工商银行,5.9,5.99,5.83,5.86,601826396,3548348327.0
2019-03-01,'601398,工商银行,5.77,5.86,5.71,5.85,337200650,1946441855.0
