代码	名称	今开	最高	最低	现价	总量	总金额	
000001	平安银行	13.72	14.09	13.66	13.69	1533891	2134708992	
000002	万 科Ａ	31.77	32.00	30.88	30.94	557809	1759310336	
000004	国农科技	21.82	22.58	21.38	21.51	21929	48279076	
000005	世纪星源	3.86	3.89	3.80	3.81	119448	46029288	
000006	深振业Ａ	7.03	7.05	6.76	6.78	216588	150032112	
000007	全新好	7.17	7.25	7.05	7.06	49198	35277448	
000008	神州高铁	4.90	4.95	4.73	4.73	631002	306152576	
000009	中国宝安	6.71	6.85	6.56	6.58	369497	248383200	
000010	美丽生态	3.84	3.90	3.77	3.78	111796	43010804	
000011	深物业A	12.28	12.40	12.06	12.10	96828	117954992	
000012	南 玻Ａ	5.62	5.68	5.52	5.52	117311	65904668	
000014	沙河股份	12.16	12.43	12.05	12.08	70838	86948928	
000016	深康佳Ａ	5.40	5.47	5.26	5.26	212717	114357896	
000017	深中华A	5.40	5.54	5.29	5.29	93171	50721108	
000018	神州长城	2.81	2.97	2.81	2.82	485235	139591728	
000019	深粮控股	8.91	8.94	8.52	8.52	133330	116397616	
000020	深华发Ａ	13.52	13.60	12.88	12.88	30757	40758272	
000021	深科技	9.19	9.32	8.98	8.99	270653	247729520	
000023	深天地Ａ	15.96	16.30	15.83	15.94	47678	76715776	
000025	特 力Ａ	34.56	36.55	34.00	35.09	87823	307180192	
000026	飞亚达Ａ	9.00	9.02	8.76	8.79	61206	54597616	
000027	深圳能源	6.55	6.57	6.32	6.37	285764	184169648	
000028	国药一致	49.37	49.96	48.28	48.51	18963	93099552	
000029	深深房Ａ	--  	--  	--  	11.17	0	0	
000030	富奥股份	5.85	6.37	5.79	5.84	287954	173974000	
000031	大悦城	7.21	7.54	7.06	7.23	438473	319889152	
000032	深桑达Ａ	9.93	10.14	9.77	9.79	35946	35870996	
000034	神州数码	16.06	16.49	15.73	15.96	72500	117183256	
000035	中国天楹	5.18	5.29	5.13	5.14	112926	58948916	
000036	华联控股	7.99	8.09	7.85	7.85	185006	147902800	
000037	深南电A	13.85	13.98	12.57	13.03	70561	94194256	
000038	深大通	13.90	13.93	13.30	13.43	70870	96643528	
000039	中集集团	15.42	15.52	15.05	15.08	140102	215112480	
000040	东旭蓝天	9.50	9.65	9.37	9.39	355964	338147104	
000042	中洲控股	12.80	12.99	12.64	12.66	120976	155044944	
000043	中航善达	--  	--  	--  	10.04	0	0	
000045	深纺织Ａ	8.00	8.09	7.85	7.85	74768	59743340	
000046	泛海控股	8.01	8.15	7.86	7.88	187083	150604688	
000048	*ST康达	23.24	24.37	22.35	22.92	17166	39881804	
