证券代码	更新日期	总股本(万股)	国家股	发起法人股	法人股	B股	Ｈ股	流通A股	职工股	A2转配股	总资产(千元)	流动资产	固定资产	无形资产	长期投资	流动负债	长期负债	资本公积金	每股公积金	股东权益	主营收入	主营利润	其他利润	营业利润	投资收益	补贴收入	营业外收支	损益调整	利润总额	税后利润	净利润	未分配利润	每股未分配	每股收益	每股净资	调整每股净资	股东权益比率	净资收益率	经营现金流入	经营现金流出	经营现金流量	投资现金流入	投资现金流出	投资现金流量	筹资现金流入	筹资现金流出	筹资现金流量	现金及等价物	应收帐款周转率	存货周转率	股东总数	发行价	发行量	主营业务增长率	税后利润增长率	净资产增长率	总资产增长率
SZ000001	20180930	1717041.125	0.000	15.615	15.615	0.000	0.000	1717024.625	0.000	0.000	3352056064.000	0.000	9374000.000	4722000.000	0.000	0.000	0.000	56465000.000	3.289	235231008.000	86664000.000	25767000.000	0.000	26614000.000	7099000.000	0.000	-48000.000	0.000	26566000.000	26566000.000	20456000.000	91973000.000	5.357	1.140	12.540	12.538	7.017	9.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000002	20180930	1103915.250	0.000	0.000	0.000	0.000	131495.547	971517.000	0.000	0.000	1432222080.000	1212408192.000	11165369.000	5076777.000	0.000	1044136384.000	172193888.000	8874858.000	0.804	140001408.000	176022144.000	48531616.000	0.000	31654122.000	2650012.750	0.000	7983.872	0.000	31662108.000	31662108.000	13984560.000	83817920.000	7.593	1.267	12.682	12.303	9.775	10.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000004	20180930	8397.668	0.000	5.000	5.000	0.000	0.000	8301.318	0.000	0.000	334707.750	204617.844	29229.725	23227.346	0.000	132661.188	4263.150	938.767	0.011	127071.266	256178.594	205983.625	0.000	-8483.871	3934.719	0.000	1610.232	0.000	-6873.638	-6873.638	-2591.750	31089.383	0.370	-0.031	1.513	1.451	37.965	-2.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000005	20180930	105853.688	0.000	4794.518	4794.518	0.000	0.000	95122.242	0.000	0.000	2906448.750	1170584.750	28977.385	59130.188	0.000	1360044.500	133456.656	688364.750	0.650	1329043.125	382999.969	131518.297	0.000	10741.008	-5289.209	0.000	1893.535	0.000	12634.543	12634.543	6531.952	-439274.313	-0.415	0.006	1.255	1.247	45.727	0.490	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000006	20180930	134999.500	0.000	0.000	0.000	0.000	0.000	134830.797	0.000	0.000	12463344.000	9639073.000	2672.992	0.000	0.000	4815261.000	1639733.000	484321.625	0.359	5826666.000	1593892.500	539382.125	0.000	638584.563	268374.625	0.000	1370.074	0.000	639954.625	639954.625	503240.063	2629078.750	1.947	0.373	4.316	4.301	46.750	8.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000007	20180930	34644.805	0.000	3750.000	3750.000	0.000	0.000	30894.805	0.000	0.000	425326.250	140820.766	67177.297	280.083	0.000	42173.223	1430.190	157024.156	0.453	378263.688	32261.555	22042.092	0.000	-11794.584	4603.773	0.000	-1370.008	0.000	-13164.594	-13164.594	-8660.637	-134207.438	-0.387	-0.025	1.092	1.085	88.935	-2.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000008	20180930	281832.969	0.000	546.832	546.832	0.000	0.000	254462.453	0.000	0.000	9887942.000	5096336.000	243621.063	213045.563	0.000	2390790.250	318233.688	2901501.500	1.030	7103097.500	1289516.500	611879.063	0.000	171740.438	21834.260	0.000	3625.027	0.000	175365.469	175365.469	123560.906	1482626.125	0.526	0.044	2.520	2.516	71.836	1.720	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000009	20180930	214934.500	0.000	2077.783	2077.783	0.000	0.000	211978.906	0.000	0.000	28801284.000	19594468.000	3640530.500	1032617.125	0.000	11867009.000	6956650.500	804606.000	0.374	5088411.000	6649259.000	2181280.500	0.000	349486.500	377290.000	0.000	27205.559	0.000	376692.063	376692.063	98609.078	1860382.500	0.866	0.046	2.367	2.286	17.667	1.950	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000010	20180930	81985.469	0.000	21573.236	21573.236	0.000	0.000	52217.137	0.000	0.000	3824096.250	3233725.250	86624.922	11411.703	0.000	2673488.750	20676.512	1495371.500	1.824	964295.625	187352.344	12970.246	0.000	-190176.969	12572.771	0.000	3114.884	0.000	-187062.094	-187062.094	-191965.391	-1362699.000	-1.662	-0.234	1.176	1.163	25.216	-18.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SZ000011	20180930	59597.910	0.000	189.498	189.498	6760.524	0.000	17586.262	0.000	0.000	4884499.000	3991457.250	30435.984	0.000	0.000	1939359.500	59037.258	118938.133	0.200	2885240.000	1199003.625	226812.828	0.000	188920.844	1398.021	0.000	206.685	0.000	189127.516	189127.516	144188.688	1876713.625	3.149	0.242	4.841	4.837	59.069	4.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
